,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
215037,139912.0,2.09401148389754,0.610635509566016,-3.34832496822221,0.51351400091593,1.45939890929272,-1.11189167923896,0.686986646504249,-0.291112700306579,-0.14659099965779,-0.864512830957861,1.31382559349426,0.0197440387264462,-0.646174758102396,-2.16497307610863,-0.626926249382375,0.658681866083082,1.80620808824518,1.2243979773292,0.138789197600844,-0.128933877704028,-0.0488892899023643,0.0121294990903651,-0.0989584467781465,0.144649103689563,0.410494991181217,0.687297153717372,-0.0885969119317433,-0.0278886427937792,0.76,0
118308,75033.0,-0.430330205681344,0.985632693552081,0.645789437298841,0.317131047127407,0.616332206255463,-1.34746245720975,1.0782335690849,-0.161518267508932,-0.492855874580938,-1.03963769713185,-0.39560772252726,-0.664683930228673,-0.985700496668287,-0.660967626671015,0.344105202877093,0.530852433867815,0.278141865207384,0.355529916892446,-1.08122326117298,-0.115281935429531,-0.0163780179250957,-0.207609058231514,-0.164119225784612,0.255280162145255,0.454797817761532,-0.505032215885219,-0.0394559687978208,-0.006357582233934,30.14,1
45963,42582.0,1.54476057077856,-1.29709947838861,0.0770844207893255,-1.81448656006376,-1.04746657441257,0.491893452967416,-1.43948429673488,0.17008911785506,-1.58669697981277,1.62033231545492,-0.533595335889572,-1.32311898513351,-0.19739135288588,-0.201317931830536,0.378595238945492,0.600165899037666,-0.447586295077089,1.49313240664714,0.500814906885615,-0.282929900513919,-0.124067963372482,-0.0563376152636834,-0.228722090827067,-1.42114692567758,0.50107499681625,-0.0124041826149478,0.0360854855243788,0.0003829632522838,28.8,0
135052,81086.0,-0.781985204608251,1.39050069935626,-0.0070634444078915,-0.391332946712177,-0.190714633570276,0.388513098846295,-1.35057785677149,-5.41832213683242,-1.35863320929735,-1.48052526785314,1.04286961848269,1.68557267507946,0.256604444288572,1.30748230721083,-0.6618474652276,0.905117375747677,-0.682069848689979,-0.359664975904989,-0.596838694755587,1.19971225925627,-2.85694221585358,-0.336636403862576,0.0323740090292179,0.0026984459003172,0.601535415881094,0.0295898533061981,0.0001844420270954,0.232305140734065,94.9,0
41569,40742.0,-2.37753280180283,0.520539361927579,-8.09413945532841,8.00535147326105,2.64075021376276,-3.38158645291742,-1.93437244067366,0.562322111872781,-3.10402718606356,-3.05121035544102,5.73576265915634,-4.74769250131792,-0.784223284478966,-10.7163393018774,0.656516978131348,-1.14246727231018,0.91859080878698,1.12633522330277,0.0929734778841175,-0.634747080915274,0.148284201590387,0.7210995412337,2.66129069804724,-0.508619933518595,-0.401656629278738,0.587611216267645,0.500326371108344,0.551759687906722,1.0,1
251491,155367.0,-0.565843934544179,1.22939137378075,-0.202988018231543,-0.593535776066717,0.0316977791761524,-1.08559072206086,0.686570648078523,0.246291646293453,-0.0249778924268342,-0.345138790921071,-1.00001858908683,0.32052750828187,0.06698599000791,0.3632584151792,-0.375035621369152,-0.0429087589427337,-0.195344880601952,-0.811948097228594,-0.190628254162947,-0.0265886146723247,-0.244949481240038,-0.57990543737975,0.171328915313433,-0.0248139802822947,-0.421798678798321,0.151487303545221,0.240498053616296,0.0879575376405123,20.0,0
254395,156710.0,0.202402312000145,1.1762702245705,0.346379123966988,2.88213779866317,1.40713333279049,-0.504354582435915,1.43853746015701,-0.395603478739171,-1.5551416238588,1.08151398923906,-1.51420473629918,-0.97376404264957,-0.709928478785898,0.141331683969234,-1.47031415230732,0.418268345647957,-0.828192503935611,-0.302239423372689,-1.76235002438458,-0.206238791066218,0.242560469143593,0.841230120611063,-0.370156596962237,-0.0260123796205956,0.49195423236033,0.234576263356619,-0.279788418223114,-0.331933388032899,7.59,1
123238,76857.0,1.14020795371139,1.15643107873873,-1.47157796740819,2.07627840454674,0.774809058745551,-1.00253195191231,0.264947929409663,0.0131622605764724,0.248835339320523,-2.10066651278309,0.763204840843787,-0.94491647902938,-1.41903447142202,-4.68361969585018,0.51928230124953,0.908454083367609,4.13366666889167,1.30620452511785,-1.09471647432252,-0.125097258302807,-0.387894980568907,-0.866811936205838,-0.121582639900783,-0.356108586349469,0.634572810783188,-0.306311023397994,0.0940868179231164,0.121064728484123,1.0,1
181486,124997.0,1.99045065717983,-1.04587654150071,-0.889758854898047,-0.489341713849889,-0.781690626889473,-0.26233706911982,-0.67255844278245,-0.0511678031728171,-0.411874658799787,0.985483162820935,0.325732799248851,0.614431218939151,0.349408155196749,0.0900480670636131,-0.46351239555164,-1.10909300854483,-0.479965579435512,1.50690444172938,-0.496300402668983,-0.453576599458286,-0.294068500128473,-0.389155945146946,0.18674210759122,-0.463173919475315,-0.390597387471294,0.562113876773407,-0.0448437369491189,-0.0548328931067196,74.35,0
154454,101597.0,0.91311613528992,1.1453810871791,-4.60287793273505,2.09180337375362,-0.473223859280585,-2.0854358325571,-1.67124403232231,0.0943965856348779,0.337798765397573,-4.4318096317282,4.87197985976052,-5.39522117678937,1.33250215621937,-4.60379669207464,-0.77731354811867,-2.57189156103509,-3.00361530529652,-0.225441388417525,0.252273565031692,0.50898474829098,0.40141574109896,-0.0849334160429759,-0.197684434494785,-0.283271078982557,0.387597335722074,-0.553526986386025,0.516274456782261,0.270828187083758,147.87,1
